Year,GDP_In_Billion_USD,Per_Capita_in_USD,
2021,3173.4,2277,
2020,2667.69,1933,
2019,2831.55,2072,
2018,2702.93,1998,
2017,2651.47,1981,
2016,2294.8,1733,
2015,2103.59,1606,
2014,2039.13,1574,
2013,1856.72,1450,
2012,1827.64,1444,
2011,1823.05,1458,
2010,1675.62,1358,
2009,1341.89,1102,
2008,1198.9,999,
2007,1216.74,1028,
2006,940.26,807,
2005,820.38,715,
2004,709.15,628,
2003,607.7,547,
2002,514.94,471,
2001,485.44,452,
2000,468.39,443,
1999,458.82,442,
1998,421.35,413,
1997,415.87,415,
1996,392.9,400,
1995,360.28,374,
1994,327.28,346,
1993,279.3,301,
1992,288.21,317,
1991,270.11,303,
1990,320.98,368,
1989,296.04,346,
1988,296.59,354,
1987,279.03,340,
1986,248.99,310,
1985,232.51,296,
1984,212.16,277,
1983,218.26,291,
1982,200.72,274,
1981,193.49,270,
1980,186.33,267,
1979,152.99,224,
1978,137.3,206,
1977,121.49,186,
1976,102.72,161,
1975,98.47,158,
1974,99.53,163,
1973,85.52,144,
1972,71.46,123,
1971,67.35,119,
1970,62.42,112,
1969,58.45,108,
1968,53.09,100,
1967,50.13,96,
1966,45.87,90,
1965,59.55,119,
1964,56.48,116,
1963,48.42,101,
1962,42.16,90,
1961,39.23,85,
